Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1675.1912162487324,OUT049
FDW14,1481.8506227027713,OUT017
NCN55,583.5201300259295,OUT010
FDQ58,2649.110238564981,OUT017
FDY38,6239.260664913632,OUT027
FDH56,1790.192786700909,OUT046
FDL48,713.858659097971,OUT018
FDC48,2517.882098018762,OUT027
FDN33,1523.963976392559,OUT045
FDA36,2752.9709391074607,OUT017
FDT44,1790.192786700909,OUT017
FDQ56,1481.8506227027713,OUT045
NCC54,583.5201300259295,OUT019
FDU11,2041.5211451394218,OUT049
DRL59,713.858659097971,OUT013
FDM24,2280.8476191122063,OUT049
FDI57,2915.4430917752843,OUT045
DRC12,2915.4430917752843,OUT018
NCM42,3242.0620783228073,OUT027
FDA46,486.08232498168945,OUT010
FDA31,2851.6316836642236,OUT013
NCJ31,3737.2957705755302,OUT035
FDG52,798.2176047806191,OUT046
NCL19,281.48208171189435,OUT019
FDS10,2915.4430917752843,OUT035
FDX22,583.5201300259295,OUT010
NCF19,798.2176047806191,OUT035
NCE06,2492.887102235038,OUT046
DRC27,4116.371655742939,OUT046
FDE21,2042.4213970947267,OUT035
NCR42,92.67548133331596,OUT019
FDX51,3030.475763408954,OUT018
NCR06,507.04640365740573,OUT018
FDU31,5305.767977887427,OUT027
FDU59,2492.887102235038,OUT017
FDR03,5305.767977887427,OUT027
FDS49,2517.882098018762,OUT027
FDD48,281.48208171189435,OUT010
NCF18,2915.4430917752843,OUT017
NCD43,2517.882098018762,OUT027
NCD54,1752.252441079276,OUT018
FDY19,281.48208171189435,OUT010
NCY54,2851.6316836642236,OUT017
NCL19,2232.8470310243238,OUT018
FDP23,583.5201300259295,OUT010
FDC26,1533.2275118040807,OUT013
FDR14,165.91858207632643,OUT010
NCS41,3482.3658004195604,OUT035
FDF41,3737.2957705755302,OUT035
FDU34,2041.5211451394218,OUT046
DRH11,935.0323893229166,OUT046
FDM03,1533.2275118040807,OUT013
FDS31,3482.3658004195604,OUT017
FDJ20,2137.240382346786,OUT017
FDV44,5305.767977887427,OUT027
FDG02,2752.9709391074607,OUT049
FDA09,2851.6316836642236,OUT013
FDT04,507.04640365740573,OUT013
FDL58,583.5201300259295,OUT019
FDE52,1424.5946898990208,OUT045
FDW12,2280.8476191122063,OUT035
FDL51,3753.0000997166726,OUT017
NCY42,3242.0620783228073,OUT027
FDR07,1616.3227139282226,OUT017
FDN40,2280.8476191122063,OUT045
FDB35,2517.882098018762,OUT027
FDA22,2280.8476191122063,OUT017
NCL06,4585.564346923828,OUT046
FDI35,3482.3658004195604,OUT013
NCW42,3753.0000997166726,OUT045
NCX06,2581.530600289318,OUT049
FDC37,2517.882098018762,OUT027
FDZ14,1752.252441079276,OUT018
DRG49,3454.062563829019,OUT049
NCG06,4111.105406584563,OUT045
DRC36,2851.6316836642236,OUT045
FDV21,281.48208171189435,OUT019
FDB53,2670.335753928614,OUT046
DRP47,583.5201300259295,OUT019
FDA14,2670.335753928614,OUT013
DRC24,2670.335753928614,OUT035
FDW21,1372.6884921038593,OUT018
NCH29,1523.963976392559,OUT046
FDU58,3030.475763408954,OUT013
FDY27,2851.6316836642236,OUT017
FDV56,1788.4846452985491,OUT035
FDT59,4116.371655742939,OUT046
FDB23,3753.0000997166726,OUT046
FDR49,798.2176047806191,OUT045
FDB03,583.5201300259295,OUT010
FDN39,2453.7476953893274,OUT045
FDX02,6239.260664913632,OUT027
FDQ16,2517.882098018762,OUT027
FDU35,1372.6884921038593,OUT018
NCT29,1863.3331364598766,OUT013
FDZ27,798.2176047806191,OUT046
FDN57,2251.955376189889,OUT017
FDA03,2232.8470310243238,OUT018
FDZ36,3030.475763408954,OUT045
NCU05,1243.0689309389536,OUT013
FDT39,2232.8470310243238,OUT018
FDK60,1616.3227139282226,OUT017
FDZ25,2894.220706031436,OUT017
FDG12,2283.6710320834454,OUT046
DRB01,486.08232498168945,OUT019
NCC43,6239.260664913632,OUT027
FDX13,583.5201300259295,OUT019
FDM22,796.6402694459946,OUT049
FDJ03,1378.2631903338286,OUT027
FDU14,3327.952585545982,OUT018
FDB33,346.8972856388536,OUT010
FDP27,3274.6725663079155,OUT046
FDO38,165.91858207632643,OUT010
FDE28,6239.260664913632,OUT027
FDO27,1523.963976392559,OUT035
DRL23,2517.882098018762,OUT027
FDS28,935.0323893229166,OUT046
FDX24,1481.8506227027713,OUT013
FDZ02,1523.963976392559,OUT035
FDL46,1790.192786700909,OUT045
FDS60,5305.767977887427,OUT027
NCO06,583.8145795372443,OUT017
FDO16,1481.8506227027713,OUT035
FDC60,1259.5490519874975,OUT049
FDA48,3327.952585545982,OUT018
FDZ36,5305.767977887427,OUT027
FDK27,2283.6710320834454,OUT045
FDW23,507.04640365740573,OUT018
FDM14,1372.6884921038593,OUT018
FDM14,1675.1912162487324,OUT013
FDW60,2851.6316836642236,OUT018
FDE21,2042.4213970947267,OUT013
NCM42,1880.2779633765126,OUT035
FDY59,219.21852023102517,OUT010
DRI49,1259.5490519874975,OUT049
FDT28,346.8972856388536,OUT019
FDQ22,507.04640365740573,OUT018
FDR60,1259.5490519874975,OUT049
FDC50,219.21852023102517,OUT019
FDV24,2492.887102235038,OUT013
DRF48,486.08232498168945,OUT010
FDQ47,583.8145795372443,OUT046
DRN36,1616.3227139282226,OUT049
NCY06,1863.3331364598766,OUT035
FDE52,1424.5946898990208,OUT035
NCB54,1863.3331364598766,OUT045
NCF31,2280.8476191122063,OUT035
FDJ08,5305.767977887427,OUT027
NCC07,1675.1912162487324,OUT017
NCD19,1378.2631903338286,OUT027
FDL46,1790.192786700909,OUT049
FDM20,4116.371655742939,OUT045
NCI06,425.93559095594617,OUT010
DRM11,4585.564346923828,OUT035
NCH07,2232.8470310243238,OUT018
FDS23,2041.5211451394218,OUT013
FDO49,713.858659097971,OUT018
FDS35,1103.186213277181,OUT049
DRK39,1481.8506227027713,OUT045
DRI39,796.6402694459946,OUT049
FDV04,2492.887102235038,OUT017
NCN14,2915.4430917752843,OUT035
FDH08,4116.371655742939,OUT013
FDS20,3482.3658004195604,OUT046
FDV40,1103.186213277181,OUT049
FDZ48,281.48208171189435,OUT010
FDS24,2517.882098018762,OUT027
FDK44,2581.530600289318,OUT049
FDS48,2670.335753928614,OUT045
FDK26,486.08232498168945,OUT010
FDD23,3030.475763408954,OUT045
NCH54,2894.220706031436,OUT017
NCP14,219.21852023102517,OUT010
FDM60,92.67548133331596,OUT010
FDV24,2492.887102235038,OUT017
FDH08,3327.952585545982,OUT018
FDS12,3242.0620783228073,OUT027
FDR39,5305.767977887427,OUT027
FDP12,1378.2631903338286,OUT027
DRF60,6239.260664913632,OUT027
FDC09,1788.4846452985491,OUT035
FDF50,3274.6725663079155,OUT018
FDG28,4116.371655742939,OUT035
NCE19,935.0323893229166,OUT017
NCM53,281.48208171189435,OUT010
NCN18,1533.2275118040807,OUT049
FDF32,3030.475763408954,OUT035
FDF11,4116.371655742939,OUT013
DRI59,3753.0000997166726,OUT049
NCG54,2894.220706031436,OUT035
FDM44,1675.1912162487324,OUT046
FDT57,3327.952585545982,OUT018
FDV24,2492.887102235038,OUT046
FDI50,583.5201300259295,OUT019
FDS09,713.858659097971,OUT035
NCC31,4117.317705977591,OUT027
FDQ07,583.5201300259295,OUT019
FDC22,3274.6725663079155,OUT017
FDZ56,2894.220706031436,OUT046
FDZ40,165.91858207632643,OUT019
FDS46,3242.0620783228073,OUT027
DRD24,2251.955376189889,OUT045
FDV45,3030.475763408954,OUT017
FDL26,2894.220706031436,OUT045
FDA56,1752.252441079276,OUT018
