Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1840.0,OUT049
FDW14,1562.0,OUT017
NCN55,1882.0,OUT010
FDQ58,2610.0,OUT017
FDY38,5140.0,OUT027
FDH56,1952.0,OUT046
FDL48,596.0,OUT018
FDC48,2776.0,OUT027
FDN33,1550.0,OUT045
FDA36,3118.0,OUT017
FDT44,2062.0,OUT017
FDQ56,1392.0,OUT045
NCC54,1874.0,OUT019
FDU11,2060.0,OUT049
DRL59,908.0,OUT013
FDM24,2552.0,OUT049
FDI57,3326.0,OUT045
DRC12,2756.0,OUT018
NCM42,3180.0,OUT027
FDA46,1126.0,OUT010
FDA31,2832.0,OUT013
NCJ31,3794.0,OUT035
FDG52,774.0,OUT046
NCL19,368.0,OUT019
FDS10,2918.0,OUT035
FDX22,1444.0,OUT010
NCF19,816.0,OUT035
NCE06,2526.0,OUT046
DRC27,3830.0,OUT046
FDE21,1960.0,OUT035
NCR42,-1376.0,OUT019
FDX51,2868.0,OUT018
NCR06,416.0,OUT018
FDU31,4976.0,OUT027
FDU59,2752.0,OUT017
FDR03,4752.0,OUT027
FDS49,2780.0,OUT027
FDD48,-76.0,OUT010
NCF18,3146.0,OUT017
NCD43,3088.0,OUT027
NCD54,1984.0,OUT018
FDY19,-8.0,OUT010
NCY54,2844.0,OUT017
NCL19,2024.0,OUT018
FDP23,1536.0,OUT010
FDC26,1850.0,OUT013
FDR14,-1072.0,OUT010
NCS41,2952.0,OUT035
FDF41,3926.0,OUT035
FDU34,1992.0,OUT046
DRH11,944.0,OUT046
FDM03,1738.0,OUT013
FDS31,3090.0,OUT017
FDJ20,2166.0,OUT017
FDV44,4520.0,OUT027
FDG02,3136.0,OUT049
FDA09,2898.0,OUT013
FDT04,648.0,OUT013
FDL58,2278.0,OUT019
FDE52,1452.0,OUT045
FDW12,2408.0,OUT035
FDL51,3550.0,OUT017
NCY42,3680.0,OUT027
FDR07,1734.0,OUT017
FDN40,2386.0,OUT045
FDB35,2976.0,OUT027
FDA22,2800.0,OUT017
NCL06,4106.0,OUT046
FDI35,2940.0,OUT013
NCW42,3458.0,OUT045
NCX06,2932.0,OUT049
FDC37,3196.0,OUT027
FDZ14,1688.0,OUT018
DRG49,3948.0,OUT049
NCG06,4002.0,OUT045
DRC36,2766.0,OUT045
FDV21,48.0,OUT019
FDB53,2328.0,OUT046
DRP47,2058.0,OUT019
FDA14,2308.0,OUT013
DRC24,2468.0,OUT035
