Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1579.2596678828836,OUT049
FDW14,1454.7502831215036,OUT017
NCN55,579.2304924308596,OUT010
FDQ58,2500.883310290274,OUT017
FDY38,5832.8168723966555,OUT027
FDH56,1937.7426620808308,OUT046
FDL48,741.5191540646098,OUT018
FDC48,2169.6452285587125,OUT027
FDN33,1523.981096323931,OUT045
FDA36,3053.475293555975,OUT017
FDT44,1965.1115243229287,OUT017
FDQ56,1436.94869015066,OUT045
NCC54,579.5463500651218,OUT019
FDU11,2017.3519938284094,OUT049
DRL59,824.6094299120251,OUT013
FDM24,2486.9474906118344,OUT049
FDI57,3076.763746717625,OUT045
DRC12,3049.826690858325,OUT018
NCM42,2924.2169320574244,OUT027
FDA46,498.92786325080596,OUT010
FDA31,2879.3028825345627,OUT013
NCJ31,3883.5184628571396,OUT035
FDG52,748.4876324261089,OUT046
NCL19,285.71241982973754,OUT019
FDS10,3026.9000352268813,OUT035
FDX22,565.8270337306673,OUT010
NCF19,745.121264399586,OUT035
NCE06,2551.644903810628,OUT046
DRC27,3909.7925363070635,OUT046
FDE21,1937.7426620808308,OUT035
NCR42,130.5008676403214,OUT019
FDX51,3051.714716034602,OUT018
NCR06,666.1647079366921,OUT018
FDU31,5832.32664386766,OUT027
FDU59,2556.928535266842,OUT017
FDR03,5832.32664386766,OUT027
FDS49,2048.3952312589063,OUT027
FDD48,268.9579753633901,OUT010
NCF18,3054.2198380891014,OUT017
NCD43,2851.500647359289,OUT027
NCD54,2123.362828744778,OUT018
FDY19,269.78889746522884,OUT010
NCY54,2879.3028825345627,OUT017
NCL19,2470.337679297448,OUT018
FDP23,577.3149709741593,OUT010
FDC26,1723.0245256428323,OUT013
FDR14,130.5008676403214,OUT010
NCS41,3053.475293555975,OUT035
FDF41,3930.889654973963,OUT035
FDU34,2022.5749988673226,OUT046
DRH11,948.8624563434853,OUT046
FDM03,1576.817073453643,OUT013
FDS31,3028.788060403158,OUT017
FDJ20,2017.3519938284094,OUT017
FDV44,5131.254462352444,OUT027
FDG02,3056.107863265378,OUT049
FDA09,2970.5628882822743,OUT013
FDT04,703.753744252991,OUT013
FDL58,577.6308286084217,OUT019
FDE52,1487.2913180250416,OUT045
FDW12,2470.337679297448,OUT035
FDL51,3669.364027200726,OUT017
NCY42,3003.148422358129,OUT027
FDR07,1523.981096323931,OUT017
FDN40,2492.6424172539355,OUT045
FDB35,2697.690534966912,OUT027
FDA22,2582.382657485191,OUT017
NCL06,4071.242790294572,OUT046
FDI35,3028.788060403158,OUT013
NCW42,3771.5975013488046,OUT045
NCX06,2982.719285601474,OUT049
FDC37,2904.536523429163,OUT027
FDZ14,2017.3519938284094,OUT018
DRG49,3891.17472695095,OUT049
NCG06,4055.732685218964,OUT045
DRC36,2879.3028825345627,OUT045
FDV21,281.2477730975971,OUT019
FDB53,2482.633282860387,OUT046
DRP47,579.5463500651218,OUT019
FDA14,2475.403615035129,OUT013
DRC24,2492.6424172539355,OUT035
FDW21,1556.8553033071053,OUT018
NCH29,1523.981096323931,OUT046
FDU58,3056.107863265378,OUT013
FDY27,2888.1554599354336,OUT017
FDV56,1583.6051221365205,OUT035
FDT59,3832.340910550294,OUT046
FDB23,3781.3737388108543,OUT046
FDR49,745.4915273174842,OUT045
FDB03,579.5463500651218,OUT010
FDN39,2556.6511564715365,OUT045
FDX02,5832.32664386766,OUT027
FDQ16,2904.536523429163,OUT027
FDU35,1527.5140139404477,OUT018
NCT29,2017.3519938284094,OUT013
FDZ27,748.4876324261089,OUT046
FDN57,2027.7742410572007,OUT017
FDA03,2475.403615035129,OUT018
FDZ36,3053.475293555975,OUT045
NCU05,1453.0183783314396,OUT013
FDT39,2486.9474906118344,OUT018
FDK60,1523.981096323931,OUT017
FDZ25,2732.3784107179936,OUT017
FDG12,2017.3519938284094,OUT046
DRB01,494.1727682451469,OUT019
NCC43,5832.8168723966555,OUT027
FDX13,577.3149709741593,OUT019
FDM22,866.4307379214677,OUT049
FDJ03,1057.9457235244245,OUT027
FDU14,3812.1783913193,OUT018
FDB33,376.63121999741537,OUT010
FDP27,3056.107863265378,OUT046
FDO38,162.59642904897055,OUT010
FDE28,5832.8168723966555,OUT027
FDO27,1523.981096323931,OUT035
DRL23,2901.512953795334,OUT027
FDS28,947.0603976855539,OUT046
FDX24,1538.2002605716434,OUT013
FDZ02,1523.981096323931,OUT035
FDL46,1937.7426620808308,OUT045
FDS60,4766.811052284427,OUT027
NCO06,657.1839902912861,OUT017
FDO16,1432.9987676584194,OUT035
FDC60,1457.903939048402,OUT049
FDA48,3530.6882747527397,OUT018
FDZ36,5132.304958001466,OUT027
FDK27,2014.9698018466909,OUT045
FDW23,663.8813624403061,OUT018
FDM14,1677.1460112762454,OUT018
FDM14,1583.6051221365205,OUT013
FDW60,2883.7623127046577,OUT018
FDE21,1937.7426620808308,OUT013
NCM42,1583.6051221365205,OUT035
FDY59,223.98636061138427,OUT010
DRI49,1354.7997519413998,OUT049
FDT28,363.9264689565254,OUT019
FDQ22,663.8813624403061,OUT018
FDR60,1292.3641273865524,OUT049
FDC50,233.32160745924364,OUT019
FDV24,2486.9474906118344,OUT013
DRF48,482.20885132375076,OUT010
FDQ47,665.4740491824421,OUT046
DRN36,1523.981096323931,OUT049
NCY06,2022.5749988673226,OUT035
FDE52,1485.2423105595847,OUT035
NCB54,2022.5749988673226,OUT045
NCF31,2492.6424172539355,OUT035
FDJ08,5140.769467704471,OUT027
NCC07,1571.7250835138477,OUT017
NCD19,1236.4831811648917,OUT027
FDL46,1980.0547645861545,OUT049
FDM20,3919.8710579438334,OUT045
NCI06,450.2378307971932,OUT010
DRM11,4078.6491686426725,OUT035
NCH07,2535.0342895468584,OUT018
FDS23,2022.5749988673226,OUT013
FDO49,741.5191540646098,OUT018
FDS35,1076.2563416360979,OUT049
DRK39,1395.2191403349723,OUT045
DRI39,924.4807976052808,OUT049
FDV04,2532.6687815666137,OUT017
NCN14,3051.5872683796983,OUT035
FDH08,3829.9939471024436,OUT013
FDS20,3053.475293555975,OUT046
FDV40,1116.5170879252894,OUT049
FDZ48,259.4233864829859,OUT010
FDS24,2568.4184649883487,OUT027
FDK44,2879.3028825345627,OUT049
FDS48,2484.7954594807993,OUT045
FDK26,481.4985757817881,OUT010
FDD23,3053.475293555975,OUT045
NCH54,2551.644903810628,OUT017
NCP14,239.5844838336117,OUT010
