Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1915.6735462612064,OUT049
FDW14,1518.7523095957117,OUT017
NCN55,1881.5285399024237,OUT010
FDQ58,2515.3630129211197,OUT017
FDY38,5010.145420655783,OUT027
FDH56,1907.5811778400698,OUT046
FDL48,664.9786269801725,OUT018
FDC48,2759.858244877085,OUT027
FDN33,1660.3206874588222,OUT045
FDA36,2988.833131064972,OUT017
FDT44,1980.0644258626025,OUT017
FDQ56,1508.4472876352552,OUT045
NCC54,1836.7796932170427,OUT019
FDU11,2103.7810492686526,OUT049
DRL59,980.4626549162144,OUT013
FDM24,2572.4294751987404,OUT049
FDI57,3352.870886794907,OUT045
DRC12,2723.239491856987,OUT018
NCM42,3155.1129768961964,OUT027
FDA46,1159.4548096842432,OUT010
FDA31,2803.439342976016,OUT013
NCJ31,3703.657944503522,OUT035
FDG52,784.3718162132473,OUT046
NCL19,422.0011846871298,OUT019
FDS10,2906.27899742664,OUT035
FDX22,1489.7019181232072,OUT010
NCF19,905.8460783410692,OUT035
NCE06,2448.666081543019,OUT046
DRC27,3695.562933192789,OUT046
FDE21,1994.2140522178997,OUT035
NCR42,-1229.0815678865465,OUT019
FDX51,2838.9755649320114,OUT018
NCR06,511.8637516084427,OUT018
FDU31,4862.247126238435,OUT027
FDU59,2632.4819466734225,OUT017
FDR03,4651.955943300127,OUT027
FDS49,2761.0980105507724,OUT027
FDD48,28.116196768348345,OUT010
NCF18,3016.5636574528644,OUT017
NCD43,3066.8968036384995,OUT027
NCD54,2002.593610667796,OUT018
FDY19,101.72411051853487,OUT010
NCY54,2712.3326497564003,OUT017
NCL19,2028.289034900553,OUT018
FDP23,1565.8316989455843,OUT010
FDC26,1863.6209466053156,OUT013
FDR14,-945.8645431368404,OUT010
NCS41,2923.8920937854427,OUT035
FDF41,3849.5475474442314,OUT035
FDU34,1943.0590223868176,OUT046
DRH11,934.6234720607831,OUT046
FDM03,1757.4381296517204,OUT013
FDS31,2969.750465709487,OUT017
FDJ20,2081.9935291719935,OUT017
FDV44,4426.462028599005,OUT027
FDG02,3143.062746447614,OUT049
FDA09,2866.115361695405,OUT013
FDT04,728.7034185827724,OUT013
FDL58,2239.027762591049,OUT019
FDE52,1585.5377146658684,OUT045
FDW12,2410.3901439563524,OUT035
FDL51,3411.345381699838,OUT017
NCY42,3629.5122340110665,OUT027
FDR07,1671.3049891543883,OUT017
FDN40,2459.0707463240833,OUT045
FDB35,2959.557097762675,OUT027
FDA22,2686.3891893074997,OUT017
NCL06,3957.005307106461,OUT046
FDI35,2921.8280261465475,OUT013
NCW42,3486.269864546395,OUT045
NCX06,2956.921291696603,OUT049
FDC37,3157.6157877456517,OUT027
FDZ14,1720.250645511726,OUT018
DRG49,3900.622458882295,OUT049
NCG06,4009.3592193125396,OUT045
DRC36,2822.0623829770043,OUT045
FDV21,87.26206033156268,OUT019
FDB53,2252.1350211444255,OUT046
DRP47,1999.6294798677986,OUT019
FDA14,2316.509919475131,OUT013
DRC24,2470.002589147456,OUT035
FDW21,1439.2263569520828,OUT018
NCH29,1535.6143407321097,OUT046
FDU58,3041.161986302174,OUT013
FDY27,2817.4601129109287,OUT017
FDV56,1926.9298696087712,OUT035
FDT59,3540.488736306799,OUT046
FDB23,3536.2492881992075,OUT046
FDR49,913.0019359255639,OUT045
FDB03,1869.9964449592635,OUT010
FDN39,2734.82451408933,OUT045
FDX02,4827.332753688297,OUT027
FDQ16,3134.256712563959,OUT027
FDU35,1365.1001723873696,OUT018
NCT29,1990.992082398523,OUT013
FDZ27,796.8952291779465,OUT046
FDN57,2287.828730518589,OUT017
FDA03,2068.9547613939676,OUT018
FDZ36,3012.8349709022823,OUT045
NCU05,1386.0824506463373,OUT013
FDT39,2192.2741217514003,OUT018
FDK60,1672.081367906936,OUT017
FDZ25,2798.4625144528936,OUT017
FDG12,1963.0366620022246,OUT046
DRB01,1105.2037227107712,OUT019
NCC43,5220.541868599782,OUT027
FDX13,2031.0573738519424,OUT019
FDM22,1130.0213212992576,OUT049
FDJ03,2279.8298497619717,OUT027
FDU14,3574.817632974017,OUT018
FDB33,745.3504475052473,OUT010
FDP27,2903.8985574248845,OUT046
FDO38,-514.1401388994946,OUT010
FDE28,4981.411494317228,OUT027
FDO27,1631.7587147524387,OUT035
DRL23,3151.529225777793,OUT027
FDS28,939.5713153417282,OUT046
FDX24,1578.6754180942276,OUT013
FDZ02,1665.519087621146,OUT035
FDL46,1962.683297861574,OUT045
FDS60,4205.054792405007,OUT027
NCO06,652.8733594027053,OUT017
FDO16,1467.0001385113524,OUT035
FDC60,1607.3141901669733,OUT049
FDA48,3130.8820574753518,OUT018
FDZ36,4341.362801867059,OUT027
FDK27,2037.653902055245,OUT045
FDW23,452.3632792711328,OUT018
FDM14,1571.295996367041,OUT018
FDM14,1847.6161119994322,OUT013
FDW60,2577.922529363677,OUT018
FDE21,1969.1711586317588,OUT013
NCM42,1821.6266610135376,OUT035
FDY59,-270.6258280105758,OUT010
DRI49,1431.020263441516,OUT049
FDT28,529.4018487849121,OUT019
FDQ22,488.5090259185936,OUT018
FDR60,1402.81995178728,OUT049
FDC50,-304.0534156643698,OUT019
FDV24,2422.316930806293,OUT013
DRF48,1109.6788700886937,OUT010
FDQ47,649.0193237596118,OUT046
DRN36,1718.0494602582753,OUT049
NCY06,2097.7758950713333,OUT035
FDE52,1568.6849214158638,OUT035
NCB54,2097.896337526453,OUT045
NCF31,2454.880270283362,OUT035
FDJ08,4375.193366162934,OUT027
NCC07,1766.4492830739327,OUT017
NCD19,2332.6071642185307,OUT027
FDL46,2061.6723160894753,OUT049
FDM20,3917.8174793867734,OUT045
NCI06,979.6627687286909,OUT010
DRM11,4054.6675951587576,OUT035
NCH07,2200.9058915692794,OUT018
FDS23,2090.8283412580768,OUT013
FDO49,678.4249366459117,OUT018
FDS35,1253.7768968961054,OUT049
DRK39,1422.9305025088843,OUT045
DRI39,1119.1340386375814,OUT049
FDV04,2533.9638584152854,OUT017
NCN14,2886.5108228767967,OUT035
FDH08,3668.9542837072104,OUT013
FDS20,2845.7933202250406,OUT046
FDV40,1412.5253576338323,OUT049
FDZ48,-48.44653826940339,OUT010
FDS24,2884.287714952441,OUT027
FDK44,2894.518922104323,OUT049
FDS48,2466.6046944162767,OUT045
FDK26,1180.9648887095204,OUT010
FDD23,3099.938241384223,OUT045
NCH54,2567.212625466749,OUT017
NCP14,-156.00724526548765,OUT010
FDM60,-1046.8099621288275,OUT010
FDV24,2425.046938777701,OUT017
FDH08,3329.650083271449,OUT018
FDS12,3392.378432133424,OUT027
FDR39,4221.8927791406,OUT027
FDP12,2130.305544324103,OUT027
DRF60,5027.752099556348,OUT027
FDC09,1830.4245332177347,OUT035
FDF50,2841.7918019409044,OUT018
FDG28,3856.771354870881,OUT035
NCE19,987.6113037395207,OUT017
NCM53,-76.60723679928105,OUT010
NCN18,1900.5469069030473,OUT049
FDF32,3202.2963419095327,OUT035
FDF11,3833.649717273903,OUT013
DRI59,3639.6547722468376,OUT049
NCG54,2695.681449005507,OUT035
FDM44,1645.7417309884577,OUT046
FDT57,3405.997562037738,OUT018
FDV24,2317.6991906102407,OUT046
FDI50,1775.8702099422794,OUT019
FDS09,1007.6872769877814,OUT035
NCC31,3824.6625085642204,OUT027
FDQ07,1614.4396677521167,OUT019
FDC22,3058.4910445272126,OUT017
FDZ56,2656.488886149823,OUT046
FDZ40,-899.0291579079803,OUT019
FDS46,3347.2384766411515,OUT027
DRD24,2295.412809177888,OUT045
FDV45,3013.1021321251783,OUT017
FDL26,2562.6322532152362,OUT045
FDA56,1767.2773967167254,OUT018
FDN27,1863.647557753964,OUT046
FDM20,3969.4630961221396,OUT049
FDO16,1427.2975501861029,OUT017
FDL03,3176.7958712691607,OUT035
FDE58,1834.876744650453,OUT046
FDI02,3264.016882116435,OUT027
NCC55,-1144.2302425034704,OUT019
FDR03,3005.104960979789,OUT018
FDB14,1636.9311959746706,OUT017
FDR45,3773.6445718286996,OUT013
NCN07,2116.6219842305873,OUT017
FDM51,-108.12055571049859,OUT019
FDT52,5201.282799055673,OUT027
FDL26,2411.544098304954,OUT046
NCZ42,3627.776455611874,OUT046
DRI47,492.01412729076355,OUT019
FDW40,2292.175247438763,OUT013
FDN34,2654.056780380748,OUT046
FDS01,2907.596987288871,OUT035
NCG55,1930.3353553160523,OUT045
FDC11,1520.3188973814385,OUT035
FDX35,3285.694072866473,OUT018
NCB06,2455.518752753,OUT046
FDR09,2151.269806936976,OUT019
FDC53,1639.9121362461724,OUT017
FDY45,3991.1783255385426,OUT013
FDA22,838.7945707899894,OUT010
FDE02,1637.20897393238,OUT035
FDW21,1777.827213531275,OUT045
FDV34,1245.751307799234,OUT046
FDS59,1971.4921025294689,OUT049
NCW17,2104.5289553601715,OUT017
NCK54,1818.479917361808,OUT046
FDG17,1964.3989669834036,OUT019
FDG35,2868.173858557946,OUT017
FDD08,-1065.6081489876087,OUT010
NCO07,3324.6151359596197,OUT017
FDJ10,427.6522493612438,OUT010
FDW36,1744.5505182567663,OUT017
FDW21,-105.50022155179431,OUT010
FDY19,1999.0220357400835,OUT017
DRE03,879.4403247596756,OUT013
NCC55,833.9547905436561,OUT049
FDH52,-701.6961011705589,OUT010
FDO09,4144.531437520115,OUT017
FDU43,3854.9298276845684,OUT045
FDX09,912.1291377467805,OUT010
FDH40,-449.16360327298025,OUT019
FDW58,1773.2092697078965,OUT017
FDC47,3550.4147906562953,OUT017
NCR41,1622.3522052480453,OUT035
DRG49,3814.5530372716657,OUT035
FDC52,3834.5242419888755,OUT027
FDY13,1244.5692256022749,OUT046
FDY35,915.1769650018737,OUT013
FDI35,2939.522678319481,OUT017
NCU18,2369.1270590337544,OUT049
FDY33,2266.3161429982615,OUT018
FDC15,3811.6960594906973,OUT027
FDU01,3153.8691963017804,OUT049
NCU42,2596.3056228094006,OUT046
NCV29,2524.049346314128,OUT018
NCY30,2903.2064699764933,OUT017
FDQ46,1939.3230759958979,OUT049
FDG58,3854.909056191355,OUT027
FDK33,3383.328676662677,OUT017
NCD07,1913.79488092892,OUT045
NCX29,3662.884224489916,OUT027
NCT42,2377.5124873296863,OUT013
DRN59,896.697789008856,OUT035
FDI44,1411.4084975884912,OUT035
FDA45,2904.675725625815,OUT049
FDP31,1242.1293309072817,OUT045
FDY01,1836.6155750133703,OUT046
FDT09,1917.8994930920135,OUT018
DRH03,2933.7481348726205,OUT027
FDA36,2672.520634119165,OUT018
NCF31,2453.0705974491134,OUT017
FDG14,2612.8231328785027,OUT049
FDG28,5209.741892150039,OUT027
FDU14,3985.879762393805,OUT049
FDY47,304.90145590422026,OUT019
FDI56,1658.3340268769825,OUT049
DRD01,1046.3129539718611,OUT013
FDM22,957.1651236664061,OUT046
FDH33,797.2657641155729,OUT013
DRZ24,1914.363278909409,OUT013
NCQ38,1649.205974677131,OUT046
FDO16,2786.572133688662,OUT027
FDU07,3793.5019037389993,OUT027
NCB07,3046.034845837014,OUT013
FDU48,2184.816500976705,OUT045
NCM43,2662.527183876593,OUT045
FDR31,545.224354385965,OUT010
DRK49,483.38677435606223,OUT018
NCI30,1927.7036092491007,OUT010
DRD60,2872.372635540584,OUT017
NCG19,3529.1774227284623,OUT046
FDH12,1760.6746987262104,OUT035
FDM32,1628.9008374713762,OUT035
FDM27,2541.415781808667,OUT035
NCU53,3995.4955119871433,OUT027
NCQ18,1514.414097428119,OUT046
FDS10,2859.011926089841,OUT013
FDB33,3932.420245584126,OUT027
FDI12,1489.6682469547864,OUT013
NCW42,3452.7407512973364,OUT013
NCC06,1784.1068004879821,OUT018
FDW02,2089.257625635131,OUT017
NCD43,1739.1070493003417,OUT017
FDM57,1154.4699082603101,OUT018
FDA58,3696.8198031056227,OUT017
FDK56,2851.6463605840268,OUT046
FDP52,3676.962534913395,OUT045
FDW20,1779.1818117764137,OUT018
FDS52,1783.6721821237275,OUT049
NCT29,1652.530522758112,OUT018
NCL54,2777.1668627553236,OUT013
FDC05,3172.323390737898,OUT045
FDF34,3189.208638497396,OUT035
FDP03,3433.9678258223266,OUT027
FDD32,-351.955285944372,OUT010
FDZ10,2121.249445878509,OUT045
FDZ40,1007.0025260019261,OUT035
FDD51,488.988705676531,OUT018
NCY30,968.5586515827549,OUT019
FDP58,3406.1587664969,OUT017
FDV49,4163.776135322614,OUT017
FDY24,-924.9287989929144,OUT019
NCO55,1755.8535441755303,OUT017
FDR13,2016.4258568812797,OUT017
FDS51,1139.3419911035999,OUT017
FDP26,1720.11117387059,OUT045
NCB54,3452.554233084279,OUT027
FDF32,3159.7024854413876,OUT017
FDN31,2723.4471953498455,OUT018
DRM48,695.3971087903496,OUT017
FDN20,2850.808763040894,OUT049
DRL01,3563.9561656097503,OUT046
FDV56,1980.619085570625,OUT049
DRH13,3129.4542360229834,OUT027
FDA03,2383.3920401635664,OUT017
FDF47,4887.236963446746,OUT027
FDX32,2331.397084352944,OUT046
FDX57,1772.7676720494906,OUT049
NCA30,3001.2760201507463,OUT045
FDO49,985.8056965286382,OUT013
FDL04,-182.218662403272,OUT019
DRM48,726.0468166774558,OUT035
FDR16,3345.4308016461473,OUT013
NCC19,2702.951610586526,OUT018
NCE42,3710.2683188943784,OUT045
FDY24,1027.8210589533446,OUT017
FDH19,2913.850422756246,OUT049
FDJ46,2767.739256088118,OUT013
FDN45,1618.4897201866584,OUT010
FDY08,2327.7015914955864,OUT035
FDZ37,1587.454377174527,OUT035
NCT30,893.3814611488724,OUT045
DRY23,507.94118740291515,OUT018
NCZ30,1677.68105396472,OUT018
FDC44,1565.7766815014288,OUT018
FDB45,1820.4535142156246,OUT035
FDY04,2644.0209039879132,OUT013
FDM27,2463.3323693073526,OUT046
FDZ43,3857.1562856784867,OUT017
FDT39,619.0558966870208,OUT019
NCC06,184.00105020876117,OUT019
FDL15,3834.499349433563,OUT027
FDL57,4058.942796660903,OUT017
FDU08,1606.5838901378243,OUT046
FDK40,4110.159239999487,OUT017
FDQ12,1731.547902560585,OUT010
FDS48,2453.8754371210302,OUT017
FDP09,3380.3541386293737,OUT045
FDW21,1822.0581685726647,OUT049
FDY25,2942.556992848629,OUT035
DRE13,1455.9157654572318,OUT017
FDV43,-1031.9377161538023,OUT019
FDD22,1865.8935343621924,OUT045
FDM46,-383.90503395430096,OUT019
NCO30,1068.456065336747,OUT010
FDM25,2722.500071425575,OUT046
NCN41,2109.68357259646,OUT049
FDU24,1616.158420208174,OUT045
