Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1318.344970703125,OUT049
FDW14,1392.7921142578125,OUT017
NCN55,605.1947631835938,OUT010
FDQ58,2541.32958984375,OUT017
FDY38,6078.513671875,OUT027
FDH56,1872.2882080078125,OUT046
FDL48,569.0263061523438,OUT018
FDC48,2272.1982421875,OUT027
FDN33,1484.17041015625,OUT045
FDA36,3140.755615234375,OUT017
FDT44,1914.0584716796875,OUT017
FDQ56,1310.7078857421875,OUT045
NCC54,542.5806274414062,OUT019
FDU11,2074.123779296875,OUT049
DRL59,830.98876953125,OUT013
FDM24,2388.241943359375,OUT049
FDI57,3252.284912109375,OUT045
DRC12,2868.536376953125,OUT018
NCM42,2626.517578125,OUT027
FDA46,547.245849609375,OUT010
FDA31,2858.809814453125,OUT013
NCJ31,3907.45703125,OUT035
FDG52,770.3456420898438,OUT046
NCL19,384.52392578125,OUT019
FDS10,2971.94287109375,OUT035
FDX22,641.3900756835938,OUT010
NCF19,851.480712890625,OUT035
NCE06,2479.958740234375,OUT046
DRC27,3885.155517578125,OUT046
FDE21,2012.754638671875,OUT035
NCR42,1.272386074066162,OUT019
FDX51,2869.76904296875,OUT018
NCR06,486.4252624511719,OUT018
FDU31,5695.86181640625,OUT027
FDU59,2538.63330078125,OUT017
FDR03,5283.486328125,OUT027
FDS49,2279.661376953125,OUT027
FDD48,343.8326416015625,OUT010
NCF18,3157.253173828125,OUT017
NCD43,2717.864013671875,OUT027
NCD54,1650.5028076171875,OUT018
FDY19,318.8590087890625,OUT010
NCY54,2909.68310546875,OUT017
NCL19,2202.6796875,OUT018
FDP23,558.1331787109375,OUT010
FDC26,1833.8145751953125,OUT013
FDR14,33.894596099853516,OUT010
NCS41,3229.829345703125,OUT035
FDF41,3920.555419921875,OUT035
FDU34,1914.532470703125,OUT046
DRH11,873.4862060546875,OUT046
FDM03,1661.91796875,OUT013
FDS31,3062.852294921875,OUT017
FDJ20,2034.150390625,OUT017
FDV44,5173.65234375,OUT027
FDG02,3061.94189453125,OUT049
FDA09,2986.703369140625,OUT013
FDT04,664.2265625,OUT013
FDL58,-121.57369232177734,OUT019
FDE52,1374.0213623046875,OUT045
FDW12,2545.361328125,OUT035
FDL51,3560.833251953125,OUT017
NCY42,3263.915771484375,OUT027
FDR07,1492.0115966796875,OUT017
FDN40,2410.800537109375,OUT045
FDB35,2516.372314453125,OUT027
FDA22,2652.8154296875,OUT017
NCL06,4298.7177734375,OUT046
FDI35,3038.7421875,OUT013
NCW42,3618.90673828125,OUT045
NCX06,3097.993896484375,OUT049
FDC37,2715.31201171875,OUT027
FDZ14,1759.1424560546875,OUT018
DRG49,3962.736328125,OUT049
NCG06,4006.416015625,OUT045
DRC36,2875.848876953125,OUT045
FDV21,268.4855651855469,OUT019
FDB53,2451.9755859375,OUT046
DRP47,647.8152465820312,OUT019
FDA14,2433.3798828125,OUT013
DRC24,2585.208740234375,OUT035
FDW21,1346.1397705078125,OUT018
NCH29,1513.8001708984375,OUT046
FDU58,3175.399658203125,OUT013
FDY27,2962.594970703125,OUT017
FDV56,1747.784912109375,OUT035
FDT59,3916.7255859375,OUT046
FDB23,3392.403564453125,OUT046
FDR49,755.4644775390625,OUT045
FDB03,545.0545043945312,OUT010
FDN39,2572.08984375,OUT045
FDX02,5811.01708984375,OUT027
FDQ16,2684.57275390625,OUT027
FDU35,1384.8348388671875,OUT018
NCT29,2045.67431640625,OUT013
FDZ27,766.922119140625,OUT046
FDN57,2085.267578125,OUT017
FDA03,2102.247314453125,OUT018
FDZ36,3071.392822265625,OUT045
NCU05,1217.7098388671875,OUT013
FDT39,2102.62353515625,OUT018
FDK60,1541.7996826171875,OUT017
FDZ25,2832.305419921875,OUT017
FDG12,2091.597900390625,OUT046
DRB01,507.71563720703125,OUT019
NCC43,6117.919921875,OUT027
FDX13,679.3441772460938,OUT019
FDM22,924.1734008789062,OUT049
FDJ03,1318.21630859375,OUT027
FDU14,3670.15673828125,OUT018
FDB33,396.61016845703125,OUT010
FDP27,3113.938720703125,OUT046
FDO38,224.69313049316406,OUT010
FDE28,6071.75244140625,OUT027
FDO27,1534.9356689453125,OUT035
DRL23,2699.924560546875,OUT027
FDS28,908.1728515625,OUT046
FDX24,1503.634765625,OUT013
FDZ02,1565.1136474609375,OUT035
FDL46,1714.6563720703125,OUT045
FDS60,4719.66552734375,OUT027
NCO06,650.4397583007812,OUT017
FDO16,1452.4732666015625,OUT035
FDC60,1352.751708984375,OUT049
FDA48,3255.187255859375,OUT018
FDZ36,4772.84326171875,OUT027
FDK27,2000.0501708984375,OUT045
FDW23,433.7624206542969,OUT018
FDM14,1593.132568359375,OUT018
FDM14,1666.86328125,OUT013
FDW60,2626.9130859375,OUT018
FDE21,1926.4793701171875,OUT013
NCM42,1734.8681640625,OUT035
FDY59,263.4781799316406,OUT010
DRI49,1327.0732421875,OUT049
FDT28,360.6318054199219,OUT019
FDQ22,490.0051574707031,OUT018
FDR60,1350.040771484375,OUT049
FDC50,250.666259765625,OUT019
FDV24,2370.283447265625,OUT013
DRF48,440.59051513671875,OUT010
FDQ47,644.2968139648438,OUT046
DRN36,1550.969482421875,OUT049
NCY06,2148.327880859375,OUT035
FDE52,1466.104248046875,OUT035
NCB54,2030.4256591796875,OUT045
NCF31,2529.30517578125,OUT035
FDJ08,5165.77734375,OUT027
NCC07,1735.285888671875,OUT017
NCD19,1669.13818359375,OUT027
FDL46,1827.324951171875,OUT049
FDM20,3913.859130859375,OUT045
NCI06,411.6966552734375,OUT010
DRM11,4191.66455078125,OUT035
NCH07,2353.31689453125,OUT018
FDS23,2173.544921875,OUT013
FDO49,563.7289428710938,OUT018
FDS35,1105.67822265625,OUT049
DRK39,1292.711669921875,OUT045
DRI39,942.5647583007812,OUT049
FDV04,2640.121826171875,OUT017
NCN14,3182.271728515625,OUT035
FDH08,3943.455322265625,OUT013
FDS20,3113.938720703125,OUT046
FDV40,1184.5296630859375,OUT049
FDZ48,287.501220703125,OUT010
FDS24,2517.25732421875,OUT027
FDK44,2952.352294921875,OUT049
FDS48,2460.12744140625,OUT045
FDK26,519.8901977539062,OUT010
FDD23,3132.463134765625,OUT045
NCH54,2703.774658203125,OUT017
NCP14,275.91888427734375,OUT010
FDM60,65.8863525390625,OUT010
FDV24,2390.958984375,OUT017
FDH08,3353.74267578125,OUT018
FDS12,3348.94775390625,OUT027
FDR39,4922.57177734375,OUT027
FDP12,1055.52001953125,OUT027
DRF60,6089.62890625,OUT027
FDC09,1746.4339599609375,OUT035
FDF50,2983.31689453125,OUT018
FDG28,4025.92626953125,OUT035
NCE19,944.5665893554688,OUT017
NCM53,272.2765197753906,OUT010
NCN18,1864.7900390625,OUT049
FDF32,3241.2265625,OUT035
FDF11,4003.79052734375,OUT013
DRI59,3806.185302734375,OUT049
NCG54,2751.310791015625,OUT035
FDM44,1647.85888671875,OUT046
FDT57,3494.98681640625,OUT018
FDV24,2332.284423828125,OUT046
FDI50,629.5009765625,OUT019
FDS09,815.8403930664062,OUT035
NCC31,3795.599609375,OUT027
FDQ07,578.6585693359375,OUT019
FDC22,3176.18017578125,OUT017
FDZ56,2747.4755859375,OUT046
FDZ40,111.96154022216797,OUT019
FDS46,3043.316650390625,OUT027
DRD24,2132.924072265625,OUT045
FDV45,3340.810791015625,OUT017
FDL26,2425.68017578125,OUT045
FDA56,1773.773681640625,OUT018
FDN27,1725.6842041015625,OUT046
FDM20,4048.814208984375,OUT049
FDO16,1446.00732421875,OUT017
FDL03,3238.593017578125,OUT035
FDE58,1786.2159423828125,OUT046
FDI02,3004.78125,OUT027
NCC55,40.30751037597656,OUT019
FDR03,3075.21435546875,OUT018
FDB14,1510.6090087890625,OUT017
FDR45,3984.364501953125,OUT013
NCN07,2183.93505859375,OUT017
FDM51,231.85218811035156,OUT019
FDT52,6112.2431640625,OUT027
FDL26,2435.58056640625,OUT046
NCZ42,3893.778076171875,OUT046
